Timestamp,Date,Time,Start or End,Office or Home,Why corrected?,amended time,Final Corrected Time,amended day,Final Corrected Day
,,,,,,,,,
23/09/2019 08:07:54,23/09/2019,08:07:54,Start / Enter,Working in Office,,,08:07:54,,23/09/2019
23/09/2019 15:14:08,23/09/2019,15:14:08,End / Leave,Working in Office,,,15:14:08,,23/09/2019
24/09/2019 09:15:00,24/09/2019,09:15:00,Start / Enter,Working in Office,,,09:15:00,,24/09/2019
24/09/2019 18:00:00,24/09/2019,18:00:00,End / Leave,Working in Office,,,18:00:00,,24/09/2019
24/09/2019 21:40:45,24/09/2019,21:40:45,Start / Enter,Learning (self-directed),,,21:40:45,,24/09/2019
24/09/2019 23:12:00,24/09/2019,23:12:00,End / Leave,Learning (self-directed),,,23:12:00,,24/09/2019
25/09/2019 09:25:29,25/09/2019,09:25:29,Start / Enter,Working in Office,,,09:25:29,,25/09/2019
25/09/2019 13:46:10,25/09/2019,13:46:10,End / Leave,Working in Office,,,13:46:10,,25/09/2019
25/09/2019 14:08:07,25/09/2019,14:08:07,Start / Enter,Working from Home or remote location,,,14:08:07,,25/09/2019
25/09/2019 15:27:59,25/09/2019,15:27:59,End / Leave,Working from Home or remote location,,,15:27:59,,25/09/2019
26/09/2019 09:17:29,26/09/2019,09:17:29,Start / Enter,Working in Office,,,09:17:29,,26/09/2019
26/09/2019 17:45:11,26/09/2019,17:45:11,End / Leave,Working in Office,,,17:45:11,,26/09/2019
26/09/2019 18:39:53,26/09/2019,18:39:53,Start / Enter,Working from Home or remote location,,,18:39:53,,26/09/2019
26/09/2019 19:31:53,26/09/2019,19:31:53,End / Leave,Working from Home or remote location,,,19:31:53,,26/09/2019
26/09/2019 21:56:18,26/09/2019,21:56:18,Start / Enter,Learning (self-directed),,,21:56:18,,26/09/2019
26/09/2019 23:20:09,26/09/2019,23:20:09,End / Leave,Learning (self-directed),,,23:20:09,,26/09/2019
01/10/2019 09:25:27,01/10/2019,09:25:27,Start / Enter,Working in Office,,,09:25:27,,01/10/2019
01/10/2019 17:45:27,01/10/2019,17:45:27,End / Leave,Working in Office,,,17:45:27,,01/10/2019
01/10/2019 22:26:39,01/10/2019,22:26:39,Start / Enter,Learning (self-directed),,,22:26:39,,01/10/2019
01/10/2019 23:16:00,01/10/2019,23:16:00,Start / Enter,Learning (self-directed),,,23:16:00,,01/10/2019
02/10/2019 09:21:43,02/10/2019,09:21:43,Start / Enter,Working in Office,,,09:21:43,,02/10/2019
02/10/2019 18:20:52,02/10/2019,18:20:52,End / Leave,Working in Office,,,18:20:52,,02/10/2019
02/10/2019 21:05:13,02/10/2019,21:05:13,Start / Enter,Working from Home or remote location,,,21:05:13,,02/10/2019
02/10/2019 21:50:00,02/10/2019,21:50:00,End / Leave,Working from Home or remote location,,,21:50:00,,02/10/2019
03/10/2019 09:25:00,03/10/2019,09:25:00,Start / Enter,Working in Office,,,09:25:00,,03/10/2019
03/10/2019 18:15:00,03/10/2019,18:15:00,Start / Enter,Working in Office,,,18:15:00,,03/10/2019
04/10/2019 07:12:52,04/10/2019,07:12:52,Start / Enter,Working from Home or remote location,,,07:12:52,,04/10/2019
04/10/2019 14:40:00,04/10/2019,14:40:00,End / Leave,Working from Home or remote location,Manually entered later,,14:40:00,,04/10/2019
07/10/2019 08:10:00,07/10/2019,08:10:00,Start / Enter,Working in Office,Manually entered later,,08:10:00,,07/10/2019
07/10/2019 14:40:00,07/10/2019,14:40:00,End / Leave,Working in Office,Manually entered later,,14:40:00,,07/10/2019
07/10/2019 22:22:01,07/10/2019,22:22:01,Start / Enter,Working from Home or remote location,,,22:22:01,,07/10/2019
07/10/2019 23:25:22,07/10/2019,23:25:22,End / Leave,Working from Home or remote location,,,23:25:22,,07/10/2019
08/10/2019 09:20:00,08/10/2019,09:20:00,Start / Enter,Working in Office,Manually entered later,,09:20:00,,08/10/2019
08/10/2019 18:00:00,08/10/2019,18:00:00,End / Leave,Working in Office,Manually entered later,,18:00:00,,08/10/2019
08/10/2019 22:50:30,08/10/2019,22:50:30,Start / Enter,Learning (self-directed),,,22:50:30,,08/10/2019
08/10/2019 23:10:57,08/10/2019,23:10:57,End / Leave,Learning (self-directed),,,23:10:57,,08/10/2019
09/10/2019 08:25:00,09/10/2019,08:25:00,Start / Enter,Working from Home or remote location,Manually entered later,,08:25:00,,09/10/2019
09/10/2019 18:15:00,09/10/2019,18:15:00,End / Leave,Working from Home or remote location,Missing entry - assumed time,,18:15:00,,09/10/2019
10/10/2019 09:15:00,10/10/2019,09:15:00,Start / Enter,Working in Office,Manually entered later,,09:15:00,,10/10/2019
10/10/2019 18:30:00,10/10/2019,18:30:00,End / Leave,Working in Office,Manually entered later,,18:30:00,,10/10/2019
10/10/2019 22:22:12,10/10/2019,22:22:12,Start / Enter,Learning (self-directed),,,22:22:12,,10/10/2019
10/10/2019 23:36:03,10/10/2019,23:36:03,End / Leave,Learning (self-directed),,,23:36:03,,10/10/2019
11/10/2019 07:57:45,11/10/2019,07:57:45,Start / Enter,Working from Home or remote location,,,07:57:45,,11/10/2019
11/10/2019 16:59:09,11/10/2019,16:59:09,End / Leave,Working from Home or remote location,Manually entered later,14:45:00,14:45:00,,11/10/2019
13/10/2019 10:03:42,13/10/2019,10:03:42,Start / Enter,Learning (self-directed),Missing entry - assumed time,08:30,08:30,,13/10/2019
13/10/2019 10:03:42,13/10/2019,10:03:42,End / Leave,Learning (self-directed),,,10:03:42,,13/10/2019
14/10/2019 10:18:45,14/10/2019,10:18:45,Start / Enter,Working in Office,Manually entered later,08:20:00,08:20:00,,14/10/2019
14/10/2019 17:09:45,14/10/2019,17:09:45,End / Leave,Working in Office,Manually entered later,14:45:00,14:45:00,,14/10/2019
14/10/2019 21:48:31,14/10/2019,21:48:31,Start / Enter,Working from Home or remote location,,,21:48:31,,14/10/2019
14/10/2019 21:48:31,14/10/2019,21:48:31,End / Leave,Working from Home or remote location,Missing entry - assumed time,23:00,23:00,,14/10/2019
15/10/2019 17:20:08,15/10/2019,17:20:08,Start / Enter,Working in Office,Manually entered later,09:20:00,09:20:00,,15/10/2019
15/10/2019 17:20:08,15/10/2019,17:20:08,End / Leave,Working in Office,Missing entry - assumed time,18:15:00,18:15:00,,15/10/2019
15/10/2019 22:04:39,15/10/2019,22:04:39,Start / Enter,Learning (self-directed),Manually entered later,21:45:00,21:45:00,,15/10/2019
15/10/2019 07:54:29,15/10/2019,07:54:29,End / Leave,Learning (self-directed),Manually entered later,22:55:00,22:55:00,,15/10/2019
16/10/2019 15:48:10,16/10/2019,15:48:10,Start / Enter,Working in Office,Missing entry - assumed time,08:00:00,08:00:00,,16/10/2019
16/10/2019 15:48:10,16/10/2019,15:48:10,End / Leave,Working in Office,Manually entered later,14:40:00,14:40:00,,16/10/2019
17/10/2019 23:47:18,17/10/2019,23:47:18,Start / Enter,Working from Home or remote location,Manually entered later,21:40:00,21:40:00,,17/10/2019
17/10/2019 23:47:24,17/10/2019,23:47:24,End / Leave,Working from Home or remote location,,,23:47:24,,17/10/2019
18/10/2019 08:08:08,18/10/2019,08:08:08,Start / Enter,Working from Home or remote location,Manually entered later,07:55:00,07:55:00,,18/10/2019
18/10/2019 15:31:32,18/10/2019,15:31:32,End / Leave,Working from Home or remote location,Manually entered later,14:40:00,14:40:00,,18/10/2019
19/10/2019 23:35:55,19/10/2019,23:35:55,Start / Enter,Learning (self-directed),Manually entered later,22:00:00,22:00:00,,19/10/2019
19/10/2019 23:36:06,19/10/2019,23:36:06,End / Leave,Learning (self-directed),Manually entered later,23:30:00,23:30:00,,19/10/2019
21/10/2019 00:00:54,21/10/2019,00:00:54,Start / Enter,Working from Home or remote location,Manually entered later,20:00:00,20:00:00,,21/10/2019
21/10/2019 00:01:04,21/10/2019,00:01:04,End / Leave,Working from Home or remote location,Manually entered later,21:45:00,21:45:00,,21/10/2019
23/10/2019 23:45:24,23/10/2019,23:45:24,Start / Enter,Working in Office,Manually entered later,08:15:00,08:15:00,,23/10/2019
23/10/2019 23:45:36,23/10/2019,23:45:36,End / Leave,Working in Office,Manually entered later,18:00:00,18:00:00,,23/10/2019
24/10/2019 08:34:29,24/10/2019,08:34:29,Start / Enter,Working in Office,,,08:34:29,,24/10/2019
24/10/2019 19:22:37,24/10/2019,19:22:37,End / Leave,Working in Office,Manually entered later,18:10:00,18:10:00,,24/10/2019
27/10/2019 23:30:58,27/10/2019,23:30:58,Start / Enter,Working from Home or remote location,Manually entered later,13:10:00,13:10:00,,27/10/2019
27/10/2019 23:31:15,27/10/2019,23:31:15,End / Leave,Working from Home or remote location,Manually entered later,15:10:00,15:10:00,,27/10/2019
27/10/2019 23:31:30,27/10/2019,23:31:30,Start / Enter,Working from Home or remote location,Manually entered later,21:05:00,21:05:00,,27/10/2019
27/10/2019 23:31:48,27/10/2019,23:31:48,End / Leave,Working from Home or remote location,Manually entered later,22:35:00,22:35:00,,27/10/2019
28/10/2019 07:49:06,28/10/2019,07:49:06,Start / Enter,Working in Office,,,07:49:06,,28/10/2019
28/10/2019 16:59:37,28/10/2019,16:59:37,End / Leave,Working in Office,Manually entered later,14:45:00,14:45:00,,28/10/2019
29/10/2019 09:27:06,29/10/2019,09:27:06,Start / Enter,Working in Office,,,09:27:06,,29/10/2019
29/10/2019 18:18:43,29/10/2019,18:18:43,End / Leave,Working in Office,,,18:18:43,,29/10/2019
29/10/2019 23:34:44,29/10/2019,23:34:44,Start / Enter,Working from Home or remote location,Manually entered later,21:35:00,21:35:00,,29/10/2019
29/10/2019 23:34:55,29/10/2019,23:34:55,End / Leave,Working from Home or remote location,Manually entered later,23:10:00,23:10:00,,29/10/2019
30/10/2019 10:27:09,30/10/2019,10:27:09,Start / Enter,Working in Office,Manually entered later,09:20:00,09:20:00,,30/10/2019
30/10/2019 19:27:17,30/10/2019,19:27:17,End / Leave,Working in Office,Manually entered later,18:15:00,18:15:00,,30/10/2019
31/10/2019 09:24:23,31/10/2019,09:24:23,Start / Enter,Working in Office,,,09:24:23,,31/10/2019
31/10/2019 09:24:23,31/10/2019,09:24:23,End / Leave,Working in Office,Missing entry - assumed time,18:15,18:15,,31/10/2019
01/11/2019 07:45:45,01/11/2019,07:45:45,Start / Enter,Working from Home or remote location,,,07:45:45,,01/11/2019
01/11/2019 07:46:15,01/11/2019,07:46:15,End / Leave,Working from Home or remote location,Missing entry - assumed time,14:45:00,14:45:00,,01/11/2019
01/11/2019 07:46:15,01/11/2019,07:46:15,Start / Enter,Working from Home or remote location,Manually entered later,22:00:00,22:00:00,,01/11/2019
01/11/2019 07:46:28,01/11/2019,07:46:28,End / Leave,Working from Home or remote location,Manually entered later,23:10:00,23:10:00,,01/11/2019
03/11/2019 09:43:03,03/11/2019,09:43:03,Start / Enter,Working from Home or remote location,Manually entered later,08:15:00,08:15:00,,03/11/2019
03/11/2019 19:59:56,03/11/2019,19:59:56,End / Leave,Working from Home or remote location,Manually entered later,10:45:00,10:45:00,,03/11/2019
03/11/2019 22:59:18,03/11/2019,22:59:18,Start / Enter,Working from Home or remote location,Manually entered later,20:45:00,20:45:00,,03/11/2019
03/11/2019 22:59:28,03/11/2019,22:59:28,End / Leave,Working from Home or remote location,Manually entered later,22:00:00,22:00:00,,03/11/2019
04/11/2019 08:00:17,04/11/2019,08:00:17,Start / Enter,Working in Office,,,08:00:17,,04/11/2019
04/11/2019 08:00:17,04/11/2019,08:00:17,End / Leave,Working in Office,Missing entry - assumed time,14:40,14:40,,04/11/2019
05/11/2019 09:27:18,05/11/2019,09:27:18,Start / Enter,Working in Office,,,09:27:18,,05/11/2019
05/11/2019 17:07:09,05/11/2019,17:07:09,End / Leave,Working in Office,Manually entered later,16:50:00,16:50:00,,05/11/2019
05/11/2019 23:22:10,05/11/2019,23:22:10,Start / Enter,Working from Home or remote location,Manually entered later,21:30:00,21:30:00,,05/11/2019
05/11/2019 23:22:20,05/11/2019,23:22:20,End / Leave,Working from Home or remote location,Manually entered later,22:45:00,22:45:00,,05/11/2019
06/11/2019 18:42:38,06/11/2019,18:42:38,Start / Enter,Working in Office,Missing entry - assumed time,09:30:00,09:30:00,,06/11/2019
06/11/2019 18:42:38,06/11/2019,18:42:38,End / Leave,Working in Office,Manually entered later,17:45:00,17:45:00,,06/11/2019
07/11/2019 10:20:21,07/11/2019,10:20:21,Start / Enter,Working in Office,Manually entered later,09:25:00,09:25:00,,07/11/2019
07/11/2019 23:26:27,07/11/2019,23:26:27,End / Leave,Working in Office,Manually entered later,18:00:00,18:00:00,,07/11/2019
10/11/2019 22:31:24,10/11/2019,22:31:24,Start / Enter,Learning (self-directed),Manually entered later,08:30:00,08:30:00,,10/11/2019
10/11/2019 22:31:33,10/11/2019,22:31:33,End / Leave,Learning (self-directed),Manually entered later,10:00:00,10:00:00,,10/11/2019
10/11/2019 22:31:46,10/11/2019,22:31:46,Start / Enter,Working from Home or remote location,Manually entered later,21:00:00,21:00:00,,10/11/2019
10/11/2019 22:32:00,10/11/2019,22:32:00,End / Leave,Working from Home or remote location,Manually entered later,22:30:00,22:30:00,,10/11/2019
11/11/2019 23:28:30,11/11/2019,23:28:30,Start / Enter,Working in Office,Manually entered later,08:15:00,08:15:00,,11/11/2019
11/11/2019 23:28:38,11/11/2019,23:28:38,End / Leave,Working in Office,Manually entered later,18:25:00,18:25:00,,11/11/2019
11/11/2019 23:28:48,11/11/2019,23:28:48,Start / Enter,Working from Home or remote location,Manually entered later,21:30:00,21:30:00,,11/11/2019
11/11/2019 23:29:00,11/11/2019,23:29:00,End / Leave,Working from Home or remote location,Manually entered later,23:00:00,23:00:00,,11/11/2019
